"Name"|"Street"|"City"|"State"|"Email"|"Phone"|"Lat"|"Long"|"County"
"Birmingham"|"2201 1st Ave North, 1st Floor"|"Birmingham"|"AL"|"ltownsend@barackobama.com"|"(205) 202-4200"|33.515695|-86.802544|"""Jefferson"""
"Anchorage"|"2602 Fairbanks Street"|"Anchorage"|"AK"|"alaska@barackobama.com"|"(907) 223-6300"|61.1967686|-149.8727368|"""Anchorage"""
"Tucson"|"4639 E. 1st"|"Tucson"|"AZ"|"tgervais@ofaaz.com"|"(520) 505-1584"|32.2350712|-110.8939721|"""Pima"""
"Phoenix"|"103 W Highland, Suite 101"|"Phoenix"|"AZ"|"aelmo@ofaaz.com"|"(602) 264-8136"|33.5056892|-112.0754735|"""Maricopa"""
"North Little Rock"|"201 W Broadway, Suite G"|"North Little Rock"|"AR"|"gmoody@barackobama.com"|"(501) 358-8409"|34.756364|-92.269568|"""Pulaski"""
"Los Angeles"|"10401 Venice Blvd, 2nd floor"|"Los Angeles"|"CA"||"(310) 421-1051"|34.0205654|-118.4046101|"""Los Angeles"""
"Sacramento"|"6760 Folsom Blvd."|"Sacramento"|"CA"|||38.552884|-121.424907|"""Sacramento"""
"Los Angeles"|"5444 Crenshaw Blvd. Suite 100"|"Los Angeles"|"CA"||"(310) 421-1061"|33.991883|-118.330254|"""Los Angeles"""
"Cathedral City"|"67-555 East Palm Canyon Drive"|"Cathedral City"|"CA"|||33.781252|-116.4691923|"""Riverside"""
"San Jose"|"23 N. Market Street"|"San Jose"|"CA"|||37.3359185|-121.8925929|"""Santa Clara"""
"Los Angeles"|"1167 East Florence Avenue"|"Los Angeles"|"CA"|||33.975096|-118.254061|"""Los Angeles"""
"San Diego"|"4660 El Cajon Blvd., Suite 206"|"San Diego"|"CA"|||32.756399|-117.093657|"""San Diego"""
"Mountain View"|"1411 West El Camino Real"|"Mountain View"|"CA"|"besfandiari@ofacalifornia.com"|"(650) 799-4067"|37.388851|-122.09115|"""Santa Clara"""
"San Rafael"|"1654 Second Street"|"San Rafael"|"CA"|"MMcCollister@ofacalifornia.com"|"(916) 802-2817"|37.972881|-122.53693|"""Marin"""
"Santa Monica"|"1408 Third Street, 3rd Floor"|"Santa Monica"|"CA"||"(310) 395-0177"|34.0154053|-118.49597|"""Los Angeles"""
"Oakland"|"300 Frank Ogawa Plaza, Suite 410"|"Oakland"|"CA"|||37.8056561|-122.2716461|"""Alameda"""
"Pasadena"|"140 N. Lake Street"|"Pasadena"|"CA"|||34.148417|-118.131924|"""Los Angeles"""
"San Francisco"|"2278 Market Street"|"San Francisco"|"CA"|||37.764811|-122.4326921|"""San Francisco"""
"Denver"|"77 W 9th Avenue"|"Denver"|"CO"|"southdenver@ofacolorado.com"|"(720) 436-8787"|39.7305078|-104.9884558|"""Denver"""
"Grand Junction"|"546 Main Street, Suite 403"|"Grand Junction"|"CO"|"grandjunction@ofacolorado.com"|"(720) 629-7711"|39.067472|-108.5633305|"""Mesa"""
"Fort Collins"|"401 S Mason Street"|"Fort Collins"|"CO"|"ftcollins@ofacolorado.com"|"(970) 275-0514"|40.582637|-105.079196|"""Larimer"""
"Lakewood"|"9797 W. Colfax, Suite 2-G"|"Lakewood"|"CO"|"lakewood@ofacolorado.com"|"(303) 547-4964"|39.740611|-105.107456|"""Jefferson"""
"Pueblo"|"330 S. Union Avenue"|"Pueblo"|"CO"|"pueblo@ofacolorado.com"|"(719) 647-7555"|38.2623589|-104.615553|"""Pueblo"""
"Colorado Springs"|"24 E Rio Grande"|"Colorado Springs"|"CO"|"cosprings@ofacolorado.com"|"(720) 885-5647"|38.8244835|-104.8246977|"""El Paso"""
"Thornton"|"550 E Thornton Pky, Suite 202"|"Thornton"|"CO"|"thornton@ofacolorado.com"|"(720) 539-2793"|39.869299|-104.979782|"""Adams"""
"Aurora"|"15451 E Mississippi Avenue, Suite B"|"Aurora"|"CO"|"aurora@ofacolorado.com"|"(720) 289-2852"|39.6966808|-104.8077349|"""Arapahoe"""
"Denver"|"3131 W Alameda Avenue"|"Denver"|"CO"|"westdenver@ofacolorado.com"|"(720) 365-4595"|39.711431|-105.027209|"""Denver"""
"Greeley"|"807 17th Street, Suite G"|"Greeley"|"CO"|"greeley@ofacolorado.com"|"(970) 231-9668"|40.4119317|-104.6914803|"""Weld"""
"Boulder"|"2206 Pearl Street"|"Boulder"|"CO"|"boulder@ofacolorado.com"|"(720) 235-7079"|40.020384|-105.26637|"""Boulder"""
"Durango"|"572 E. Third Avenue, 1st Floor"|"Durango"|"CO"|"durango@ofacolorado.com"|"(970) 457-7894"|37.269317|-107.878614|"""La Plata"""
"Glenwood Springs"|"912 Grand Avenue"|"Glenwood Springs"|"CO"|"glenwoodsprings@ofacolorado.com"|"(720) 326-6987"|39.5445613|-107.3247925|"""Garfield"""
"Denver"|"3100 Downing St, A"|"Denver"|"CO"|"fivepoints@ofacolorado.com"|"(720) 365-4921"|39.76092|-104.972999|"""Denver"""
"Loveland"|"601 E. Eisenhower, Unit 18"|"Loveland"|"CO"|"loveland@ofacolorado.com"|"(970) 275-9092"|40.4073457|-105.0691071|"""Larimer"""
"Longmont"|"1811 Hover St, Unit G"|"Longmont"|"CO"|"longmont@ofacolorado.com"|"(303) 704-7652"|40.1904468|-105.1309563|"""Boulder"""
"Littleton"|"11757 W Ken Caryl Ave, Suite K"|"Littleton"|"CO"|"kencaryl@ofacolorado.com"|"(303) 330-1851"|39.581717|-105.131743|"""Jefferson"""
"Highlands Ranch"|"36 W. Springer Dr."|"Highlands Ranch"|"CO"|"highlandsranch@ofacolorado.com"|"(720) 273-2280"|39.5598901|-104.9881224|"""Douglas"""
"Fountain"|"5520 S. US Highway 85-87, Suite 105"|"Fountain"|"CO"|"fountain@ofacolorado.com"|"(303) 476-0523"|38.6839435|-104.7045591|"""El Paso"""
"Silverthorne"|"285 Summit Place"|"Silverthorne"|"CO"|"summitcounty@ofacolorado.com"|"(970) 749-5348"|39.6272921|-106.0626318|"""Summit"""
"Woodland Park"|"1075 E Hwy 24"|"Woodland Park"|"CO"|"woodlandpark@ofacolorado.com"|"(970) 209-0686"|38.9833393|-105.0454458|"""Teller"""
"Colorado Springs"|"7608 N. Union Blvd., Unit E"|"Colorado Springs"|"CO"|"northcosprings@ofacolorado.com"|"(720) 459-1010"|38.9429284|-104.775087|"""El Paso"""
"Brighton"|"637 E Bridge St"|"Brighton"|"CO"|"brighton@ofacolorado.com"|"(720) 480-3156"|39.9868132|-104.8147082|"""Adams"""
"Broomfield"|"6821 W 120th Ave, Units C, D, E"|"Broomfield"|"CO"|"broomfield@ofacolorado.com"|"(720) 409-9808"|39.9143679|-105.0721281|"""Broomfield"""
"Boulder"|"2995 Baseline Rd, Suite 112"|"Boulder"|"CO"|"southboulder@ofacolorado.com"|"(720) 369-6213"|40.0001741|-105.2532584|"""Boulder"""
"Commerce City"|"6143 E 72nd Ave"|"Commerce City"|"CO"|"commercecity@ofacolorado.com"|"(720) 235-2674"|39.8272934|-104.9170127|"""Adams"""
"Steamboat Springs"|"401 Lincoln Ave, Suite C"|"Steamboat Springs"|"CO"|"steamboat@ofacolorado.com"|"(970) 367-6938"|40.4835876|-106.8303406|"""Routt"""
"Pueblo"|"1402 E. 4th St"|"Pueblo"|"CO"|"eastpueblo@ofacolorado.com"|"(719) 582-3025"|38.27091|-104.586273|"""Pueblo"""
"Arvada"|"7705 Wadsworth Blvd, Unit I"|"Arvada"|"CO"|"arvada@ofacolorado.com"|"(720) 454-9660"|39.837261|-105.082469|"""Jefferson"""
"Edwards"|"105 Edwards Village , A-103"|"Edwards"|"CO"|"edwards@ofacolorado.com"|"(970) 275-2838"|39.6443075|-106.5937012|"""Eagle"""
"Evergreen"|"1153 Bergen Parkway, Unit K"|"Evergreen"|"CO"|"evergreen@ofacolorado.com"|"(303) 887-0746"|39.693606|-105.357245|"""Jefferson"""
"Littleton"|"26 E. Arapahoe Rd, Unit 26"|"Littleton"|"CO"|"littleton@ofacolorado.com"|"(720) 252-2526"|39.594487|-104.98705|"""Arapahoe"""
"Aspen"|"100 S. Spring St., Unit 5"|"Aspen"|"CO"|"aspen@ofacolorado.com"|"(970) 343-0645"|39.189641|-106.81561|"""Pitkin"""
"Denver"|"4800 Oakland , Unit 1"|"Denver"|"CO"|"montbello@ofacolorado.com"|"(720) 429-6207"|39.7843255|-104.8506928|"""Denver"""
"Aurora"|"9801 E. Colfax Ave, Unit 102"|"Aurora"|"CO"|"eastcolfax@ofacolorado.com"||39.740977|-104.873576|"""Adams"""
"Ft. Collins"|"4206 S. College Ave, Unit 109"|"Ft. Collins"|"CO"|"southftcollins@ofacolorado.com"|"(970) 497-6531"|40.5296566|-105.076974|"""Larimer"""
