,NAME,P0010001,state,county
1,Autauga County,54571,01,001
2,Baldwin County,182265,01,003
3,Barbour County,27457,01,005
4,Bibb County,22915,01,007
5,Blount County,57322,01,009
6,Bullock County,10914,01,011
7,Butler County,20947,01,013
8,Calhoun County,118572,01,015
9,Chambers County,34215,01,017
10,Cherokee County,25989,01,019
11,Chilton County,43643,01,021
12,Choctaw County,13859,01,023
13,Clarke County,25833,01,025
14,Clay County,13932,01,027
15,Cleburne County,14972,01,029
16,Coffee County,49948,01,031
17,Colbert County,54428,01,033
18,Conecuh County,13228,01,035
19,Coosa County,11539,01,037
20,Covington County,37765,01,039
21,Crenshaw County,13906,01,041
22,Cullman County,80406,01,043
23,Dale County,50251,01,045
24,Dallas County,43820,01,047
25,DeKalb County,71109,01,049
26,Elmore County,79303,01,051
27,Escambia County,38319,01,053
28,Etowah County,104430,01,055
29,Fayette County,17241,01,057
30,Franklin County,31704,01,059
31,Geneva County,26790,01,061
32,Greene County,9045,01,063
33,Hale County,15760,01,065
34,Henry County,17302,01,067
35,Houston County,101547,01,069
36,Jackson County,53227,01,071
37,Jefferson County,658466,01,073
38,Lamar County,14564,01,075
39,Lauderdale County,92709,01,077
40,Lawrence County,34339,01,079
41,Lee County,140247,01,081
42,Limestone County,82782,01,083
43,Lowndes County,11299,01,085
44,Macon County,21452,01,087
45,Madison County,334811,01,089
46,Marengo County,21027,01,091
47,Marion County,30776,01,093
48,Marshall County,93019,01,095
49,Mobile County,412992,01,097
50,Monroe County,23068,01,099
51,Montgomery County,229363,01,101
52,Morgan County,119490,01,103
53,Perry County,10591,01,105
54,Pickens County,19746,01,107
55,Pike County,32899,01,109
56,Randolph County,22913,01,111
57,Russell County,52947,01,113
58,St. Clair County,83593,01,115
59,Shelby County,195085,01,117
60,Sumter County,13763,01,119
61,Talladega County,82291,01,121
62,Tallapoosa County,41616,01,123
63,Tuscaloosa County,194656,01,125
64,Walker County,67023,01,127
65,Washington County,17581,01,129
66,Wilcox County,11670,01,131
67,Winston County,24484,01,133
68,Aleutians East Borough,3141,02,013
69,Aleutians West Census Area,5561,02,016
70,Anchorage Municipality,291826,02,020
71,Bethel Census Area,17013,02,050
72,Bristol Bay Borough,997,02,060
73,Denali Borough,1826,02,068
74,Dillingham Census Area,4847,02,070
75,Fairbanks North Star Borough,97581,02,090
76,Haines Borough,2508,02,100
77,Hoonah-Angoon Census Area,2150,02,105
78,Juneau City and Borough,31275,02,110
79,Kenai Peninsula Borough,55400,02,122
80,Ketchikan Gateway Borough,13477,02,130
81,Kodiak Island Borough,13592,02,150
82,Lake and Peninsula Borough,1631,02,164
83,Matanuska-Susitna Borough,88995,02,170
84,Nome Census Area,9492,02,180
85,North Slope Borough,9430,02,185
86,Northwest Arctic Borough,7523,02,188
87,Petersburg Census Area,3815,02,195
88,Prince of Wales-Hyder Census Area,5559,02,198
89,Sitka City and Borough,8881,02,220
90,Skagway Municipality,968,02,230
91,Southeast Fairbanks Census Area,7029,02,240
92,Valdez-Cordova Census Area,9636,02,261
93,Wade Hampton Census Area,7459,02,270
94,Wrangell City and Borough,2369,02,275
95,Yakutat City and Borough,662,02,282
96,Yukon-Koyukuk Census Area,5588,02,290
97,Apache County,71518,04,001
98,Cochise County,131346,04,003
99,Coconino County,134421,04,005
100,Gila County,53597,04,007
101,Graham County,37220,04,009
102,Greenlee County,8437,04,011
103,La Paz County,20489,04,012
104,Maricopa County,3817117,04,013
105,Mohave County,200186,04,015
106,Navajo County,107449,04,017
107,Pima County,980263,04,019
108,Pinal County,375770,04,021
109,Santa Cruz County,47420,04,023
110,Yavapai County,211033,04,025
111,Yuma County,195751,04,027
112,Arkansas County,19019,05,001
113,Ashley County,21853,05,003
114,Baxter County,41513,05,005
115,Benton County,221339,05,007
116,Boone County,36903,05,009
117,Bradley County,11508,05,011
118,Calhoun County,5368,05,013
119,Carroll County,27446,05,015
120,Chicot County,11800,05,017
121,Clark County,22995,05,019
122,Clay County,16083,05,021
123,Cleburne County,25970,05,023
124,Cleveland County,8689,05,025
125,Columbia County,24552,05,027
126,Conway County,21273,05,029
127,Craighead County,96443,05,031
128,Crawford County,61948,05,033
129,Crittenden County,50902,05,035
130,Cross County,17870,05,037
131,Dallas County,8116,05,039
132,Desha County,13008,05,041
133,Drew County,18509,05,043
134,Faulkner County,113237,05,045
135,Franklin County,18125,05,047
136,Fulton County,12245,05,049
137,Garland County,96024,05,051
138,Grant County,17853,05,053
139,Greene County,42090,05,055
140,Hempstead County,22609,05,057
141,Hot Spring County,32923,05,059
142,Howard County,13789,05,061
143,Independence County,36647,05,063
144,Izard County,13696,05,065
145,Jackson County,17997,05,067
146,Jefferson County,77435,05,069
147,Johnson County,25540,05,071
148,Lafayette County,7645,05,073
149,Lawrence County,17415,05,075
150,Lee County,10424,05,077
151,Lincoln County,14134,05,079
152,Little River County,13171,05,081
153,Logan County,22353,05,083
154,Lonoke County,68356,05,085
155,Madison County,15717,05,087
156,Marion County,16653,05,089
157,Miller County,43462,05,091
158,Mississippi County,46480,05,093
159,Monroe County,8149,05,095
160,Montgomery County,9487,05,097
161,Nevada County,8997,05,099
162,Newton County,8330,05,101
163,Ouachita County,26120,05,103
164,Perry County,10445,05,105
165,Phillips County,21757,05,107
166,Pike County,11291,05,109
167,Poinsett County,24583,05,111
168,Polk County,20662,05,113
169,Pope County,61754,05,115
170,Prairie County,8715,05,117
171,Pulaski County,382748,05,119
172,Randolph County,17969,05,121
173,St. Francis County,28258,05,123
174,Saline County,107118,05,125
175,Scott County,11233,05,127
176,Searcy County,8195,05,129
177,Sebastian County,125744,05,131
178,Sevier County,17058,05,133
179,Sharp County,17264,05,135
180,Stone County,12394,05,137
181,Union County,41639,05,139
182,Van Buren County,17295,05,141
183,Washington County,203065,05,143
184,White County,77076,05,145
185,Woodruff County,7260,05,147
186,Yell County,22185,05,149
187,Alameda County,1510271,06,001
188,Alpine County,1175,06,003
189,Amador County,38091,06,005
190,Butte County,220000,06,007
191,Calaveras County,45578,06,009
192,Colusa County,21419,06,011
193,Contra Costa County,1049025,06,013
194,Del Norte County,28610,06,015
195,El Dorado County,181058,06,017
196,Fresno County,930450,06,019
197,Glenn County,28122,06,021
198,Humboldt County,134623,06,023
199,Imperial County,174528,06,025
200,Inyo County,18546,06,027
201,Kern County,839631,06,029
202,Kings County,152982,06,031
203,Lake County,64665,06,033
204,Lassen County,34895,06,035
205,Los Angeles County,9818605,06,037
206,Madera County,150865,06,039
207,Marin County,252409,06,041
208,Mariposa County,18251,06,043
209,Mendocino County,87841,06,045
210,Merced County,255793,06,047
211,Modoc County,9686,06,049
212,Mono County,14202,06,051
213,Monterey County,415057,06,053
214,Napa County,136484,06,055
215,Nevada County,98764,06,057
216,Orange County,3010232,06,059
217,Placer County,348432,06,061
218,Plumas County,20007,06,063
219,Riverside County,2189641,06,065
220,Sacramento County,1418788,06,067
221,San Benito County,55269,06,069
222,San Bernardino County,2035210,06,071
223,San Diego County,3095313,06,073
224,San Francisco County,805235,06,075
225,San Joaquin County,685306,06,077
226,San Luis Obispo County,269637,06,079
227,San Mateo County,718451,06,081
228,Santa Barbara County,423895,06,083
229,Santa Clara County,1781642,06,085
230,Santa Cruz County,262382,06,087
231,Shasta County,177223,06,089
232,Sierra County,3240,06,091
233,Siskiyou County,44900,06,093
234,Solano County,413344,06,095
235,Sonoma County,483878,06,097
236,Stanislaus County,514453,06,099
