,NAME,state,county,B06011_004E,B06011_005E,B06012PR_001E,B06012PR_002E,B06012PR_003E,B06012PR_004E,B06012PR_005E,B06012PR_006E,B06012PR_007E,B06012PR_008E,B06012PR_009E,B06012PR_010E,B06012PR_011E,B06012PR_012E,B06012PR_013E,B06012PR_014E,B06012PR_015E,B06012PR_016E,B06012PR_017E,B06012PR_018E,B06012PR_019E,B06012PR_020E,B06012_001E,B06012_002E,B06012_003E,B06012_004E,B06012_005E,B06012_006E,B06012_007E,B06012_008E,B06012_009E,B06012_010E,B06012_011E,B06012_012E,B06012_013E,B06012_014E,B06012_015E,B06012_016E,B06012_017E,B06012_018E,B06012_019E,B06012_020E,B07001PR_001E,B07001PR_002E,B07001PR_003E,B07001PR_004E,B07001PR_005E,B07001PR_006E,B07001PR_007E,B07001PR_008E,B07001PR_009E,B07001PR_010E,B07001PR_011E,B07001PR_012E,B07001PR_013E,B07001PR_014E,B07001PR_015E,B07001PR_016E,B07001PR_017E,B07001PR_018E,B07001PR_019E,B07001PR_020E,B07001PR_021E,B07001PR_022E,B07001PR_023E,B07001PR_024E,B07001PR_025E,B07001PR_026E,B07001PR_027E,B07001PR_028E,B07001PR_029E,B07001PR_030E,B07001PR_031E,B07001PR_032E,B07001PR_033E,B07001PR_034E,B07001PR_035E,B07001PR_036E,B07001PR_037E,B07001PR_038E,B07001PR_039E,B07001PR_040E,B07001PR_041E,B07001PR_042E,B07001PR_043E,B07001PR_044E,B07001PR_045E,B07001PR_046E,B07001PR_047E,B07001PR_048E,B07001PR_049E,B07001PR_050E,B07001PR_051E,B07001PR_052E,B07001PR_053E,B07001PR_054E,B07001PR_055E,B07001PR_056E,B07001PR_057E,B07001PR_058E,B07001PR_059E,B07001PR_060E,B07001PR_061E,B07001PR_062E,B07001PR_063E,B07001PR_064E,B07001PR_065E,B07001PR_066E,B07001PR_067E,B07001PR_068E,B07001PR_069E,B07001PR_070E,B07001PR_071E,B07001PR_072E,B07001PR_073E,B07001PR_074E,B07001PR_075E,B07001PR_076E,B07001PR_077E,B07001PR_078E,B07001PR_079E,B07001PR_080E,B07001PR_081E,B07001PR_082E,B07001PR_083E,B07001PR_084E,B07001PR_085E,B07001PR_086E,B07001PR_087E,B07001PR_088E,B07001PR_089E,B07001PR_090E,B07001PR_091E,B07001PR_092E,B07001PR_093E,B07001PR_094E,B07001PR_095E,B07001PR_096E,B07001_001E,B07001_002E,B07001_003E,B07001_004E,B07001_005E,B07001_006E,B07001_007E,B07001_008E,B07001_009E,B07001_010E,B07001_011E,B07001_012E,B07001_013E,B07001_014E,B07001_015E,B07001_016E,B07001_017E,B07001_018E,B07001_019E,B07001_020E,B07001_021E,B07001_022E,B07001_023E,B07001_024E,B07001_025E,B07001_026E,B07001_027E,B07001_028E,B07001_029E,B07001_030E,B07001_031E,B07001_032E,B07001_033E,B07001_034E,B07001_035E,B07001_036E,B07001_037E,B07001_038E,B07001_039E,B07001_040E,B07001_041E,B07001_042E,B07001_043E,B07001_044E,B07001_045E,B07001_046E,B07001_047E,B07001_048E,B07001_049E,B07001_050E,B07001_051E,B07001_052E,B07001_053E,B07001_054E,B07001_055E,B07001_056E,B07001_057E,B07001_058E,B07001_059E,B07001_060E,B07001_061E,B07001_062E,B07001_063E,B07001_064E,B07001_065E,B07001_066E,B07001_067E,B07001_068E,B07001_069E,B07001_070E,B07001_071E,B07001_072E,B07001_073E,B07001_074E,B07001_075E,B07001_076E,B07001_077E,B07001_078E,B07001_079E,B07001_080E,B07001_081E,B07001_082E,B07001_083E,B07001_084E,B07001_085E,B07001_086E,B07001_087E,B07001_088E,B07001_089E,B07001_090E,B07001_091E,B07001_092E,B07001_093E,B07001_094E,B07001_095E,B07001_096E,B07002PR_001E,B07002PR_002E,B07002PR_003E,B07002PR_004E,B07002PR_005E,B07002PR_006E,B07002_001E,B07002_002E,B07002_003E,B07002_004E,B07002_005E,B07002_006E,B07003PR_001E,B07003PR_002E,B07003PR_003E,B07003PR_004E,B07003PR_005E,B07003PR_006E,B07003PR_007E,B07003PR_008E,B07003PR_009E,B07003PR_010E,B07003PR_011E,B07003PR_012E,B07003PR_013E,B07003PR_014E,B07003PR_015E,B07003PR_016E,B07003PR_017E,B07003PR_018E,B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B07003_007E,B07003_008E,B07003_009E,B07003_010E,B07003_011E,B07003_012E,B07003_013E,B07003_014E,B07003_015E,B07003_016E,B07003_017E,B07003_018E,B07004APR_001E,B07004APR_002E,B07004APR_003E,B07004APR_004E,B07004APR_005E,B07004APR_006E,B07004A_001E,B07004A_002E,B07004A_003E,B07004A_004E,B07004A_005E,B07004A_006E,B07004BPR_001E,B07004BPR_002E,B07004BPR_003E,B07004BPR_004E,B07004BPR_005E,B07004BPR_006E,B07004B_001E,B07004B_002E,B07004B_003E,B07004B_004E,B07004B_005E,B07004B_006E,B07004CPR_001E,B07004CPR_002E,B07004CPR_003E,B07004CPR_004E,B07004CPR_005E,B07004CPR_006E,B07004C_001E,B07004C_002E,B07004C_003E,B07004C_004E,B07004C_005E,B07004C_006E,B07004DPR_001E,B07004DPR_002E,B07004DPR_003E,B07004DPR_004E,B07004DPR_005E,B07004DPR_006E,B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,B07004EPR_001E,B07004EPR_002E,B07004EPR_003E,B07004EPR_004E,B07004EPR_005E,B07004EPR_006E,B07004E_001E,B07004E_002E,B07004E_003E,B07004E_004E,B07004E_005E,B07004E_006E,B07004FPR_001E,B07004FPR_002E,B07004FPR_003E,B07004FPR_004E,B07004FPR_005E,B07004FPR_006E,B07004F_001E,B07004F_002E,B07004F_003E,B07004F_004E,B07004F_005E,B07004F_006E,B07004GPR_001E,B07004GPR_002E,B07004GPR_003E,B07004GPR_004E,B07004GPR_005E,B07004GPR_006E,B07004G_001E,B07004G_002E,B07004G_003E,B07004G_004E,B07004G_005E,B07004G_006E,B07004HPR_001E,B07004HPR_002E,B07004HPR_003E,B07004HPR_004E,B07004HPR_005E,B07004HPR_006E,B07004H_001E,B07004H_002E,B07004H_003E,B07004H_004E,B07004H_005E,B07004H_006E,B07004IPR_001E,B07004IPR_002E,B07004IPR_003E,B07004IPR_004E,B07004IPR_005E,B07004IPR_006E,B07004I_001E,B07004I_002E,B07004I_003E,B07004I_004E,B07004I_005E,B07004I_006E,B07007PR_001E,B07007PR_002E,B07007PR_003E,B07007PR_004E,B07007PR_005E,B07007PR_006E,B07007PR_007E,B07007PR_008E,B07007PR_009E,B07007PR_010E,B07007PR_011E,B07007PR_012E,B07007PR_013E,B07007PR_014E,B07007PR_015E,B07007PR_016E,B07007PR_017E,B07007PR_018E,B07007PR_019E,B07007PR_020E,B07007PR_021E,B07007PR_022E,B07007PR_023E,B07007PR_024E,B07007PR_025E,B07007PR_026E,B07007PR_027E,B07007PR_028E,B07007PR_029E,B07007PR_030E,B07007_001E,B07007_002E,B07007_003E,B07007_004E,B07007_005E,B07007_006E,B07007_007E,B07007_008E,B07007_009E,B07007_010E,B07007_011E,B07007_012E,B07007_013E,B07007_014E,B07007_015E,B07007_016E,B07007_017E,B07007_018E,B07007_019E,B07007_020E,B07007_021E,B07007_022E,B07007_023E,B07007_024E,B07007_025E,B07007_026E,B07007_027E,B07007_028E,B07007_029E,B07007_030E,B07008PR_001E,B07008PR_002E,B07008PR_003E,B07008PR_004E,B07008PR_005E,B07008PR_006E,B07008PR_007E,B07008PR_008E,B07008PR_009E,B07008PR_010E,B07008PR_011E,B07008PR_012E,B07008PR_013E,B07008PR_014E,B07008PR_015E,B07008PR_016E,B07008PR_017E,B07008PR_018E,B07008PR_019E,B07008PR_020E,B07008PR_021E,B07008PR_022E,B07008PR_023E,B07008PR_024E,B07008PR_025E,B07008PR_026E,B07008PR_027E,B07008PR_028E,B07008PR_029E,B07008PR_030E,B07008PR_031E,B07008PR_032E,B07008PR_033E,B07008PR_034E,B07008PR_035E,B07008PR_036E,B07008_001E,B07008_002E,B07008_003E,B07008_004E,B07008_005E,B07008_006E,B07008_007E,B07008_008E,B07008_009E,B07008_010E,B07008_011E,B07008_012E,B07008_013E,B07008_014E
1,"Autauga County, Alabama",01,001,34922,14375,,,,,,,,,,,,,,,,,,,,,54519,6615,4681,43223,36885,4617,3781,28487,16015,1806,769,13440,731,48,104,579,888,144,27,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54567,3149,10903,1583,3236,3248,3292,3778,4217,4260,4014,3301,2641,2468,1816,2661,46357,2480,8832,1407,2119,2477,2721,3022,3577,3713,3711,3145,2432,2406,1756,2559,3805,304,796,155,723,332,183,299,200,379,192,48,143,16,7,28,2418,211,535,10,207,327,304,151,120,122,93,108,61,46,53,70,1915,146,713,11,187,112,84,282,307,46,18,0,5,0,0,4,72,8,27,0,0,0,0,24,13,0,0,0,0,0,0,0,,,,,,,37.7,40.2,24.7,26.8,21.5,36,,,,,,,,,,,,,,,,,,,54567,26611,27956,46357,22655,23702,3805,1927,1878,2418,1107,1311,1915,904,1011,72,18,54,,,,,,,42726,36507,2751,1966,1430,72,,,,,,,10043,8466,887,283,407,0,,,,,,,138,117,6,15,0,0,,,,,,,510,429,33,0,48,0,,,,,,,15,15,0,0,0,0,,,,,,,401,354,0,47,0,0,,,,,,,734,469,128,107,30,0,,,,,,,41739,35843,2491,1966,1367,72,,,,,,,1349,975,309,2,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54567,53679,888,286,602,46357,45552,805,272,533,3805,3804,1,1,0,2418,2418,0,0,0,1915,1850,65,13,52,72,55,17,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43115,10917,22829,5626,1118,2625,37079,8506,20580,4721,846,2426,2906,1407
2,"Baldwin County, Alabama",01,003,32964,18468,,,,,,,,,,,,,,,,,,,,,184725,25752,18720,140253,99832,14284,10157,75391,76825,9768,7339,59718,1278,152,139,987,6790,1548,1085,4157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184905,9075,31368,4365,10034,10423,11022,10757,13049,13375,13627,12570,12883,11339,7631,13387,151868,6206,25246,3610,6402,6486,8376,8447,10950,11855,11819,11211,11571,10024,7232,12433,18726,1868,4128,388,1800,2281,1521,1306,1185,909,941,646,727,447,128,451,5903,423,819,151,705,903,420,611,318,335,257,287,149,303,34,188,7549,554,1127,195,737,753,624,381,547,246,567,393,362,565,237,261,859,24,48,21,390,0,81,12,49,30,43,33,74,0,0,54,,,,,,,41.9,45.1,27.1,29.8,33.6,23.5,,,,,,,,,,,,,,,,,,,184905,90325,94580,151868,74103,77765,18726,8793,9933,5903,3251,2652,7549,3797,3752,859,381,478,,,,,,,159938,132645,14851,5119,6789,534,,,,,,,17424,13443,2928,576,401,76,,,,,,,1157,1033,87,16,21,0,,,,,,,1331,976,76,50,7,222,,,,,,,5,5,0,0,0,0,,,,,,,2454,1683,444,87,240,0,,,,,,,2596,2083,340,55,91,27,,,,,,,154319,128573,13732,4837,6677,500,,,,,,,8243,5954,1550,382,323,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184905,178099,6806,2287,4519,151868,146678,5190,1994,3196,18726,18141,585,123,462,5903,5651,252,87,165,7549,7184,365,64,301,859,445,414,19,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151898,34018,86595,18091,2969,10225,127136,26239,75649,14232,1988,9028,13217,3892
3,"Barbour County, Alabama",01,005,38828,19214,,,,,,,,,,,,,,,,,,,,,24429,6512,3170,14747,16908,4766,2244,9898,6644,1522,814,4308,93,0,0,93,784,224,112,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27021,1291,4298,607,1837,2040,1746,2210,1460,1964,1908,1932,1624,1410,986,1708,22907,1065,3843,455,1175,1466,1316,1560,1139,1758,1719,1792,1593,1388,970,1668,1743,122,290,68,193,212,203,281,101,59,84,78,5,6,3,38,1611,34,49,59,256,340,185,270,138,140,86,12,16,16,8,2,655,70,112,25,213,22,42,54,49,0,19,34,10,0,5,0,105,0,4,0,0,0,0,45,33,7,0,16,0,0,0,0,,,,,,,38.6,42.2,29.6,32.1,23.3,41.1,,,,,,,,,,,,,,,,,,,27021,14440,12581,22907,11648,11259,1743,867,876,1611,1512,99,655,355,300,105,58,47,,,,,,,12875,11075,683,637,462,18,,,,,,,12508,10536,935,779,171,87,,,,,,,55,45,0,10,0,0,,,,,,,152,152,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,984,829,110,45,0,0,,,,,,,447,270,15,140,22,0,,,,,,,12568,10881,645,627,397,18,,,,,,,1317,1030,163,59,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27021,26217,804,86,718,22907,22253,654,86,568,1743,1638,105,0,105,1611,1566,45,0,45,655,655,0,0,0,105,105,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22423,7505,9202,3120,800,1796,18926,5695,8595,2385,492,1759,1379,640
4,"Bibb County, Alabama",01,007,14474,30426,,,,,,,,,,,,,,,,,,,,,21491,3898,3332,14261,18629,3544,2884,12201,2553,343,365,1845,49,1,33,15,260,10,50,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22557,1093,3769,703,1652,1567,1092,1572,1875,1785,1675,1202,1482,982,841,1267,19539,884,3351,623,1403,1135,849,1364,1478,1614,1517,1121,1340,910,727,1223,1580,131,221,56,148,258,61,84,125,135,54,67,101,56,39,44,1140,78,114,24,63,127,182,124,154,36,104,14,41,4,75,0,239,0,83,0,38,0,0,0,118,0,0,0,0,0,0,0,59,0,0,0,0,47,0,0,0,0,0,0,0,12,0,0,,,,,,,39.6,40.4,28.8,34.3,23.9,,,,,,,,,,,,,,,,,,,,22557,12168,10389,19539,10568,8971,1580,860,720,1140,717,423,239,23,216,59,0,59,,,,,,,17352,15033,1214,807,239,59,,,,,,,4879,4232,366,281,0,0,,,,,,,105,95,0,10,0,0,,,,,,,25,17,0,8,0,0,,,,,,,0,0,0,0,0,0,,,,,,,8,0,0,8,0,0,,,,,,,188,162,0,26,0,0,,,,,,,16925,14808,1150,799,156,12,,,,,,,443,225,64,24,83,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22557,22289,268,46,222,19539,19372,167,46,121,1580,1534,46,0,46,1140,1132,8,0,8,239,239,0,0,0,59,12,47,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18633,5431,8623,2342,796,1441,16172,4721,7802,1962,471,1216,1269,352
5,"Blount County, Alabama",01,009,21354,21469,,,,,,,,,,,,,,,,,,,,,57067,9023,7641,40403,45474,7026,5459,32989,8800,1577,1176,6047,292,21,147,124,2501,399,859,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56983,2991,10367,1473,3306,3340,3423,3611,4085,4099,3989,3456,4039,3071,2271,3462,50546,2479,9143,1182,2676,2765,2778,3103,3563,3638,3627,3377,3882,2876,2122,3335,3152,191,806,154,285,194,284,250,272,186,149,36,111,108,101,25,2453,219,344,118,234,326,297,198,89,250,170,32,26,78,16,56,723,95,65,19,77,55,64,50,161,25,33,0,20,9,10,40,109,7,9,0,34,0,0,10,0,0,10,11,0,0,22,6,,,,,,,40,42.1,29.2,29.9,33.2,36.5,,,,,,,,,,,,,,,,,,,56983,28228,28755,50546,25124,25422,3152,1519,1633,2453,1124,1329,723,420,303,109,41,68,,,,,,,54284,48161,2957,2367,690,109,,,,,,,813,589,150,41,33,0,,,,,,,197,197,0,0,0,0,,,,,,,58,54,4,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,679,669,10,0,0,0,,,,,,,952,876,31,45,0,0,,,,,,,50459,44711,2692,2257,690,109,,,,,,,4685,4277,275,133,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56983,54482,2501,456,2045,50546,48141,2405,450,1955,3152,3121,31,6,25,2453,2388,65,0,65,723,723,0,0,0,109,109,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46124,9230,26983,5526,830,3555,41113,7937,24737,4590,689,3160,2387,666
6,"Bullock County, Alabama",01,011,,17486,,,,,,,,,,,,,,,,,,,,,10241,2211,1662,6368,8530,1799,1381,5350,1121,271,83,767,14,0,0,14,576,141,198,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10648,581,1630,116,811,574,680,981,976,631,745,578,841,531,290,683,9015,458,1407,94,617,421,582,738,912,594,472,509,786,502,276,647,909,66,173,0,151,125,23,163,30,0,85,38,10,0,14,31,528,57,41,22,43,28,41,80,21,10,154,4,18,4,0,5,171,0,9,0,0,0,34,0,13,27,9,27,27,25,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,,,,,,,39.8,41.4,27.2,35.6,51.3,,,,,,,,,,,,,,,,,,,,10648,5821,4827,9015,4850,4165,909,447,462,528,429,99,171,95,76,25,0,25,,,,,,,2995,2455,179,311,50,0,,,,,,,7522,6456,730,190,121,25,,,,,,,4,4,0,0,0,0,,,,,,,6,6,0,0,0,0,,,,,,,32,32,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,89,62,0,27,0,0,,,,,,,2384,2072,179,83,50,0,,,,,,,611,383,0,228,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10648,10072,576,116,460,9015,8632,383,116,267,909,909,0,0,0,528,387,141,0,141,171,144,27,0,27,25,0,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8791,3697,2602,1044,524,924,7476,3171,2237,919,289,860,687,282
7,"Butler County, Alabama",01,013,7250,41620,,,,,,,,,,,,,,,,,,,,,20310,5776,2830,11704,17261,4936,2534,9791,2842,837,285,1720,50,3,11,36,157,0,0,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20428,1096,3593,390,1269,1216,1264,1087,1259,1339,1509,1511,1349,1145,740,1661,19329,1032,3450,337,1173,1075,1173,936,1160,1306,1490,1484,1298,1120,714,1581,653,38,111,40,48,82,20,83,61,0,17,27,36,25,23,42,276,13,15,6,45,41,35,36,26,17,0,0,15,0,3,24,106,0,0,7,3,4,36,32,8,0,2,0,0,0,0,14,64,13,17,0,0,14,0,0,4,16,0,0,0,0,0,0,,,,,,,40.9,42.1,32.7,33.1,36.1,27.1,,,,,,,,,,,,,,,,,,,20428,9585,10843,19329,9008,10321,653,316,337,276,171,105,106,53,53,64,37,27,,,,,,,11186,10771,153,159,70,33,,,,,,,8942,8263,500,117,31,31,,,,,,,24,24,0,0,0,0,,,,,,,106,106,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,42,42,0,0,0,0,,,,,,,128,123,0,0,5,0,,,,,,,10999,10601,153,159,70,16,,,,,,,220,203,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20428,20271,157,117,40,19329,19172,157,117,40,653,653,0,0,0,276,276,0,0,0,106,106,0,0,0,64,64,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16532,4832,7190,2266,506,1738,15606,4514,6833,2131,467,1661,538,181
8,"Calhoun County, Alabama",01,015,22407,16326,,,,,,,,,,,,,,,,,,,,,114825,25105,12894,76826,82372,19155,9461,53756,28317,5346,2525,20446,1436,185,231,1020,2700,419,677,1604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116574,5902,19595,3657,8875,7680,7052,6584,7912,7970,8529,8319,6970,5210,4529,7790,97423,4316,16101,2155,5947,5482,5710,5382,6850,7102,7841,7577,6444,4951,4313,7252,11601,920,2175,542,1791,1512,780,855,605,612,348,499,314,165,162,321,4768,471,858,542,813,342,341,267,170,159,215,144,184,75,22,165,2524,170,450,416,303,294,189,61,259,85,93,99,18,19,32,36,258,25,11,2,21,50,32,19,28,12,32,0,10,0,0,16,,,,,,,39.1,42.5,26.3,22,24.3,31.6,,,,,,,,,,,,,,,,,,,116574,56146,60428,97423,46641,50782,11601,5661,5940,4768,2635,2133,2524,1085,1439,258,124,134,,,,,,,87596,75017,7264,3190,1933,192,,,,,,,24048,18721,3737,1072,492,26,,,,,,,314,246,43,10,15,0,,,,,,,854,685,46,100,0,23,,,,,,,24,24,0,0,0,0,,,,,,,1694,1159,171,334,13,17,,,,,,,2044,1571,340,62,71,0,,,,,,,85748,73650,6822,3185,1903,188,,,,,,,3947,2883,653,347,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116574,113752,2822,725,2097,97423,95201,2222,652,1570,11601,11304,297,66,231,4768,4623,145,0,145,2524,2504,20,7,13,258,120,138,0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95521,26774,45196,12981,2830,7740,80775,20159,41109,10363,2195,6949,8931,3909
9,"Chambers County, Alabama",01,017,,22188,,,,,,,,,,,,,,,,,,,,,33655,8114,4402,21139,25692,6690,3426,15576,7500,1407,883,5210,104,0,18,86,359,17,75,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33861,1717,5541,695,2152,1925,1920,2094,2219,2357,2627,2447,2314,1880,1368,2605,29069,1207,4311,554,1758,1388,1459,1780,2032,2075,2422,2280,2161,1830,1359,2453,3280,430,936,87,277,394,329,183,81,137,135,84,74,16,9,108,859,24,172,37,78,52,79,90,84,111,58,13,35,15,0,11,633,56,122,17,39,88,50,36,22,25,12,70,44,19,0,33,20,0,0,0,0,3,3,5,0,9,0,0,0,0,0,0,,,,,,,42.7,45.1,22.4,33.7,27.8,39.8,,,,,,,,,,,,,,,,,,,33861,16232,17629,29069,13895,15174,3280,1591,1689,859,424,435,633,319,314,20,3,17,,,,,,,19751,17162,1602,531,442,14,,,,,,,13603,11548,1611,266,178,0,,,,,,,30,30,0,0,0,0,,,,,,,166,147,0,7,6,6,,,,,,,13,13,0,0,0,0,,,,,,,25,25,0,0,0,0,,,,,,,273,144,67,55,7,0,,,,,,,19658,17069,1602,531,442,14,,,,,,,174,133,0,41,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33861,33502,359,98,261,29069,28764,305,98,207,3280,3262,18,0,18,859,835,24,0,24,633,627,6,0,6,20,14,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27990,8145,12278,3846,1147,2574,24667,6770,11282,3277,956,2382,2151,1012
10,"Cherokee County, Alabama",01,019,29760,26273,,,,,,,,,,,,,,,,,,,,,25547,5415,2649,17483,14506,3193,1648,9665,10782,2183,976,7623,74,2,14,58,185,37,11,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25752,1100,3959,555,1361,1197,1385,1196,1970,1899,2127,2166,1996,1818,1240,1783,23321,990,3669,478,966,999,1141,1061,1856,1723,2005,1943,1849,1716,1215,1710,1233,91,125,22,229,131,150,74,35,70,31,75,71,75,25,29,747,19,131,55,74,64,80,61,29,79,40,57,35,4,0,19,416,0,24,0,92,3,14,0,25,27,51,91,41,23,0,25,35,0,10,0,0,0,0,0,25,0,0,0,0,0,0,0,,,,,,,45.4,46.5,30.6,31.7,50.5,40.4,,,,,,,,,,,,,,,,,,,25752,12736,13016,23321,11468,11853,1233,613,620,747,432,315,416,193,223,35,30,5,,,,,,,24027,21802,1077,714,399,35,,,,,,,1195,1041,104,33,17,0,,,,,,,126,109,17,0,0,0,,,,,,,73,73,0,0,0,0,,,,,,,4,4,0,0,0,0,,,,,,,38,17,21,0,0,0,,,,,,,289,275,14,0,0,0,,,,,,,23775,21577,1077,687,399,35,,,,,,,333,285,21,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25752,25567,185,133,52,23321,23212,109,57,52,1233,1212,21,21,0,747,692,55,55,0,416,416,0,0,0,35,35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21681,3296,13474,2552,506,1853,19572,2811,12514,2168,403,1676,1071,231
