,NAME,state,county,B07008_015E,B07008_016E,B07008_017E,B07008_018E,B07008_019E,B07008_020E,B07008_021E,B07008_022E,B07008_023E,B07008_024E,B07008_025E,B07008_026E,B07008_027E,B07008_028E,B07008_029E,B07008_030E,B07008_031E,B07008_032E,B07008_033E,B07008_034E,B07008_035E,B07008_036E,B07009PR_001E,B07009PR_002E,B07009PR_003E,B07009PR_004E,B07009PR_005E,B07009PR_006E,B07009PR_007E,B07009PR_008E,B07009PR_009E,B07009PR_010E,B07009PR_011E,B07009PR_012E,B07009PR_013E,B07009PR_014E,B07009PR_015E,B07009PR_016E,B07009PR_017E,B07009PR_018E,B07009PR_019E,B07009PR_020E,B07009PR_021E,B07009PR_022E,B07009PR_023E,B07009PR_024E,B07009PR_025E,B07009PR_026E,B07009PR_027E,B07009PR_028E,B07009PR_029E,B07009PR_030E,B07009PR_031E,B07009PR_032E,B07009PR_033E,B07009PR_034E,B07009PR_035E,B07009PR_036E,B07009_001E,B07009_002E,B07009_003E,B07009_004E,B07009_005E,B07009_006E,B07009_007E,B07009_008E,B07009_009E,B07009_010E,B07009_011E,B07009_012E,B07009_013E,B07009_014E,B07009_015E,B07009_016E,B07009_017E,B07009_018E,B07009_019E,B07009_020E,B07009_021E,B07009_022E,B07009_023E,B07009_024E,B07009_025E,B07009_026E,B07009_027E,B07009_028E,B07009_029E,B07009_030E,B07009_031E,B07009_032E,B07009_033E,B07009_034E,B07009_035E,B07009_036E,B07010PR_001E,B07010PR_002E,B07010PR_003E,B07010PR_004E,B07010PR_005E,B07010PR_006E,B07010PR_007E,B07010PR_008E,B07010PR_009E,B07010PR_010E,B07010PR_011E,B07010PR_012E,B07010PR_013E,B07010PR_014E,B07010PR_015E,B07010PR_016E,B07010PR_017E,B07010PR_018E,B07010PR_019E,B07010PR_020E,B07010PR_021E,B07010PR_022E,B07010PR_023E,B07010PR_024E,B07010PR_025E,B07010PR_026E,B07010PR_027E,B07010PR_028E,B07010PR_029E,B07010PR_030E,B07010PR_031E,B07010PR_032E,B07010PR_033E,B07010PR_034E,B07010PR_035E,B07010PR_036E,B07010PR_037E,B07010PR_038E,B07010PR_039E,B07010PR_040E,B07010PR_041E,B07010PR_042E,B07010PR_043E,B07010PR_044E,B07010PR_045E,B07010PR_046E,B07010PR_047E,B07010PR_048E,B07010PR_049E,B07010PR_050E,B07010PR_051E,B07010PR_052E,B07010PR_053E,B07010PR_054E,B07010PR_055E,B07010PR_056E,B07010PR_057E,B07010PR_058E,B07010PR_059E,B07010PR_060E,B07010PR_061E,B07010PR_062E,B07010PR_063E,B07010PR_064E,B07010PR_065E,B07010PR_066E,B07010_001E,B07010_002E,B07010_003E,B07010_004E,B07010_005E,B07010_006E,B07010_007E,B07010_008E,B07010_009E,B07010_010E,B07010_011E,B07010_012E,B07010_013E,B07010_014E,B07010_015E,B07010_016E,B07010_017E,B07010_018E,B07010_019E,B07010_020E,B07010_021E,B07010_022E,B07010_023E,B07010_024E,B07010_025E,B07010_026E,B07010_027E,B07010_028E,B07010_029E,B07010_030E,B07010_031E,B07010_032E,B07010_033E,B07010_034E,B07010_035E,B07010_036E,B07010_037E,B07010_038E,B07010_039E,B07010_040E,B07010_041E,B07010_042E,B07010_043E,B07010_044E,B07010_045E,B07010_046E,B07010_047E,B07010_048E,B07010_049E,B07010_050E,B07010_051E,B07010_052E,B07010_053E,B07010_054E,B07010_055E,B07010_056E,B07010_057E,B07010_058E,B07010_059E,B07010_060E,B07010_061E,B07010_062E,B07010_063E,B07010_064E,B07010_065E,B07010_066E,B07011PR_001E,B07011PR_002E,B07011PR_003E,B07011PR_004E,B07011PR_005E,B07011PR_006E,B07011_001E,B07011_002E,B07011_003E,B07011_004E,B07011_005E,B07011_006E,B07012PR_001E,B07012PR_002E,B07012PR_003E,B07012PR_004E,B07012PR_005E,B07012PR_006E,B07012PR_007E,B07012PR_008E,B07012PR_009E,B07012PR_010E,B07012PR_011E,B07012PR_012E,B07012PR_013E,B07012PR_014E,B07012PR_015E,B07012PR_016E,B07012PR_017E,B07012PR_018E,B07012PR_019E,B07012PR_020E,B07012PR_021E,B07012PR_022E,B07012PR_023E,B07012PR_024E,B07012_001E,B07012_002E,B07012_003E,B07012_004E,B07012_005E,B07012_006E,B07012_007E,B07012_008E,B07012_009E,B07012_010E,B07012_011E,B07012_012E,B07012_013E,B07012_014E,B07012_015E,B07012_016E,B07012_017E,B07012_018E,B07012_019E,B07012_020E,B07012_021E,B07012_022E,B07012_023E,B07012_024E,B07013PR_001E,B07013PR_002E,B07013PR_003E,B07013PR_004E,B07013PR_005E,B07013PR_006E,B07013PR_007E,B07013PR_008E,B07013PR_009E,B07013PR_010E,B07013PR_011E,B07013PR_012E,B07013PR_013E,B07013PR_014E,B07013PR_015E,B07013PR_016E,B07013PR_017E,B07013PR_018E,B07013_001E,B07013_002E,B07013_003E,B07013_004E,B07013_005E,B07013_006E,B07013_007E,B07013_008E,B07013_009E,B07013_010E,B07013_011E,B07013_012E,B07013_013E,B07013_014E,B07013_015E,B07013_016E,B07013_017E,B07013_018E,B07101_001E,B07101_002E,B07101_003E,B07101_004E,B07101_005E,B07101_006E,B07101_007E,B07101_008E,B07101_009E,B07101_010E,B07101_011E,B07101_012E,B07101_013E,B07101_014E,B07101_015E,B07101_016E,B07101_017E,B07101_018E,B07101_019E,B07101_020E,B07101_021E,B07101_022E,B07101_023E,B07101_024E,B07101_025E,B07101_026E,B07101_027E,B07101_028E,B07101_029E,B07101_030E,B07101_031E,B07101_032E,B07101_033E,B07101_034E,B07101_035E,B07101_036E,B07101_037E,B07101_038E,B07101_039E,B07101_040E,B07101_041E,B07101_042E,B07101_043E,B07101_044E,B07101_045E,B07101_046E,B07101_047E,B07101_048E,B07101_049E,B07101_050E,B07101_051E,B07101_052E,B07101_053E,B07101_054E,B07101_055E,B07101_056E,B07101_057E,B07101_058E,B07101_059E,B07101_060E,B07201PR_001E,B07201PR_002E,B07201PR_003E,B07201PR_004E,B07201PR_005E,B07201PR_006E,B07201PR_007E,B07201PR_008E,B07201PR_009E,B07201PR_010E,B07201PR_011E,B07201PR_012E,B07201PR_013E,B07201PR_014E,B07201PR_015E,B07201PR_016E,B07201PR_017E,B07201PR_018E,B07201PR_019E,B07201PR_020E,B07201PR_021E,B07201PR_022E,B07201_001E,B07201_002E,B07201_003E,B07201_004E,B07201_005E,B07201_006E,B07201_007E,B07201_008E,B07201_009E,B07201_010E,B07201_011E,B07201_012E,B07201_013E,B07201_014E,B07202PR_001E,B07202PR_002E,B07202PR_003E,B07202PR_004E,B07202PR_005E,B07202PR_006E,B07202PR_007E,B07202PR_008E,B07202PR_009E,B07202PR_010E,B07202PR_011E,B07202_001E,B07202_002E,B07202_003E,B07202_004E,B07202_005E,B07202_006E,B07202_007E,B07202_008E,B07202_009E,B07202_010E,B07202_011E,B07202_012E,B07202_013E,B07202_014E,B07203PR_001E,B07203PR_002E,B07203PR_003E,B07203PR_004E,B07203PR_005E,B07203PR_006E,B07203PR_007E,B07203PR_008E,B07203_001E,B07203_002E,B07203_003E,B07203_004E,B07203_005E,B07203_006E,B07203_007E,B07203_008E,B07203_009E,B07203_010E,B07203_011E,B07204PR_001E,B07204PR_002E,B07204PR_003E,B07204PR_004E,B07204PR_005E,B07204PR_006E,B07204PR_007E,B07204PR_008E,B07204PR_009E,B07204PR_010E,B07204PR_011E,B07204PR_012E,B07204PR_013E,B07204PR_014E,B07204PR_015E,B07204PR_016E,B07204PR_017E,B07204_001E,B07204_002E,B07204_003E,B07204_004E,B07204_005E,B07204_006E,B07204_007E,B07204_008E,B07204_009E,B07204_010E,B07204_011E,B07204_012E,B07204_013E,B07204_014E,B07204_015E,B07204_016E,B07204_017E,B07204_018E,B07204_019E,B07401PR_001E,B07401PR_002E
1,"Autauga County, Alabama",01,001,897,351,162,89,1874,605,685,408,71,105,1214,394,651,125,39,5,42,5,16,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35696,5143,12211,10870,4899,2573,31519,4634,10852,9352,4434,2247,1827,356,777,525,114,55,1455,79,521,674,153,28,858,74,61,319,192,212,37,0,0,0,6,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43115,5372,37743,8212,4052,5246,5770,5380,3537,1473,4073,37079,4378,32701,7018,3321,4397,4889,4861,3186,1422,3607,2906,409,2497,549,454,444,564,269,104,7,106,1874,233,1641,383,178,319,289,202,69,30,171,1214,341,873,262,99,86,28,48,178,14,158,42,11,31,0,0,0,0,0,0,0,31,,,,,,,27065,28001,20694,22813,17420,86845,,,,,,,,,,,,,,,,,,,,,,,,,54179,6546,4604,43029,46146,5029,3478,37639,3703,1073,701,1929,2350,232,286,1832,1908,212,139,1557,72,0,0,72,,,,,,,,,,,,,,,,,,,54150,41801,12349,46164,39307,6857,3698,1164,2534,2331,862,1469,1885,430,1455,72,38,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54567,46357,8138,5126,793,4333,2616,1111,1505,233,171,62,163,72,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,54567,46357,8138,2174,2075,99,5964,1730,4234,2319,1915,570,332,291,722,72,0,0,72,,
2,"Baldwin County, Alabama",01,003,5927,2114,689,595,4777,2045,1517,813,215,187,5981,1550,3167,870,77,317,787,292,335,62,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130063,14209,37927,41840,24337,11750,110404,11831,31946,35327,20855,10445,10542,1235,3195,3853,1714,545,3805,672,1296,923,806,108,4936,432,1363,1718,845,578,376,39,127,19,117,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151898,18025,133873,26780,15118,24553,17419,18887,11893,4879,14344,127136,15108,112028,21070,12012,20697,14441,15982,10718,4185,12923,13217,1216,12001,2627,1524,2463,1955,1649,768,490,525,4777,652,4125,1359,902,629,439,325,113,17,341,5981,898,5083,1420,639,723,502,884,282,161,472,787,151,636,304,41,41,82,47,12,26,83,,,,,,,25201,26079,22673,12915,20947,10854,,,,,,,,,,,,,,,,,,,,,,,,,182516,25313,18354,138849,150764,16793,13544,120427,18261,5026,2662,10573,5173,1598,955,2620,7459,1497,1140,4822,859,399,53,407,,,,,,,,,,,,,,,,,,,182410,131979,50431,150685,121128,29557,18253,6207,12046,5180,1753,3427,7433,2609,4824,859,282,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184905,151868,32178,18726,7101,11625,10102,4422,5680,1525,712,813,1825,859,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,184905,151868,32178,5595,5595,0,26583,13131,13452,5903,7549,515,1424,5134,476,859,34,0,825,,
3,"Barbour County, Alabama",01,005,251,316,136,36,1528,873,202,303,149,1,489,219,138,109,23,0,101,78,16,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18988,5002,6245,5196,1546,999,16369,3997,5525,4468,1443,936,1070,363,244,380,68,15,1213,614,304,230,32,33,235,26,120,71,3,15,101,2,52,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22423,4285,18138,5720,2525,3355,2408,1730,1144,397,859,18926,3268,15658,4521,2259,2942,2085,1546,1081,397,827,1379,300,1079,373,152,209,170,146,26,0,3,1528,580,948,591,75,118,97,38,0,0,29,489,90,399,190,39,86,47,0,37,0,0,101,47,54,45,0,0,9,0,0,0,0,,,,,,,16791,17709,15843,6223,10913,9000,,,,,,,,,,,,,,,,,,,,,,,,,24129,6365,3134,14630,21517,5326,2904,13287,1628,686,140,802,315,53,63,199,564,206,25,333,105,94,2,9,,,,,,,,,,,,,,,,,,,24154,16700,7454,21528,15552,5976,1637,709,928,320,162,158,564,188,376,105,89,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,27021,22907,4009,1581,658,923,245,125,120,2183,105,,,,,,,,,,,,,,,,,,27021,22907,4009,1068,1068,0,2941,675,2266,1611,655,52,25,544,34,105,0,0,105,,
4,"Bibb County, Alabama",01,007,414,217,132,154,977,335,345,45,193,59,156,23,15,118,0,0,59,0,47,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15340,3459,6256,3774,1267,584,13278,3060,5412,3144,1100,562,1024,167,473,297,79,8,861,220,371,215,41,14,118,0,0,118,0,0,59,12,0,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18633,3679,14954,4016,1852,3460,2174,1745,907,172,628,16172,3112,13060,3351,1458,3020,2004,1656,771,172,628,1269,139,1130,396,187,290,88,59,110,0,0,977,381,596,231,89,138,82,30,26,0,0,156,0,156,38,118,0,0,0,0,0,0,59,47,12,0,0,12,0,0,0,0,0,,,,,,,19004,20144,14526,13750,10847,,,,,,,,,,,,,,,,,,,,,,,,,,21294,3833,3328,14133,18774,3072,3108,12594,1501,326,88,1087,721,219,120,382,239,216,0,23,59,0,12,47,,,,,,,,,,,,,,,,,,,21275,16950,4325,18772,15720,3052,1491,629,862,714,519,195,239,23,216,59,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22557,19539,2959,1857,46,1811,888,166,722,134,23,111,80,59,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,22557,19539,2959,870,870,0,2089,710,1379,1140,239,0,0,239,0,59,0,0,59,,
5,"Blount County, Alabama",01,009,857,519,96,249,1952,429,1108,311,32,72,579,182,260,78,13,46,93,16,21,28,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38846,8937,13463,11749,3107,1590,35066,7936,11955,10837,2806,1532,1716,467,620,498,111,20,1538,400,682,307,132,17,467,114,184,90,58,21,59,20,22,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46124,7941,38183,8353,4407,7185,5605,5452,3747,1142,2292,41113,6940,34173,7169,3848,6509,4985,5004,3494,971,2193,2387,461,1926,532,270,374,330,234,62,79,45,1952,393,1559,489,215,240,262,145,128,50,30,579,136,443,131,74,28,25,66,53,42,24,93,11,82,32,0,34,3,3,10,0,0,,,,,,,23083,23926,18371,17302,19306,16406,,,,,,,,,,,,,,,,,,,,,,,,,56449,8835,7555,40059,50283,7138,6606,36539,3032,1042,324,1666,2331,564,542,1225,694,65,61,568,109,26,22,61,,,,,,,,,,,,,,,,,,,56417,46175,10242,50279,43178,7101,3016,1102,1914,2323,1495,828,690,338,352,109,62,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56983,50546,6328,4576,138,4438,1209,475,734,453,116,337,90,109,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,56983,50546,6328,339,339,0,5989,2813,3176,2453,723,29,34,581,79,109,0,0,109,,
6,"Bullock County, Alabama",01,011,318,35,26,26,441,206,11,56,155,13,162,13,36,34,54,25,25,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7510,2421,2548,1603,386,552,6439,2119,2242,1290,363,425,519,82,195,219,23,0,365,132,57,49,0,127,162,63,54,45,0,0,25,25,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8791,1397,7394,1937,1024,1791,959,958,289,49,387,7476,1155,6321,1528,879,1487,878,841,272,49,387,687,107,580,204,84,127,81,67,17,0,0,441,122,319,158,9,134,0,18,0,0,0,162,13,149,47,27,43,0,32,0,0,0,25,0,25,0,25,0,0,0,0,0,0,,,,,,,18629,19494,16000,11875,17578,,,,,,,,,,,,,,,,,,,,,,,,,,10143,2211,1656,6276,8705,1576,1485,5644,870,383,126,361,383,176,4,203,160,76,16,68,25,0,25,0,,,,,,,,,,,,,,,,,,,10121,7422,2699,8712,6899,1813,865,218,647,359,240,119,160,65,95,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,10648,9015,1608,376,242,134,51,41,10,1181,25,,,,,,,,,,,,,,,,,,10648,9015,1608,289,289,0,1319,620,699,528,171,27,27,115,2,25,0,0,25,,
7,"Butler County, Alabama",01,013,173,103,29,52,248,85,102,28,10,23,106,38,66,0,0,2,34,14,16,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14080,3337,5212,3560,1232,739,13337,3115,4999,3386,1180,657,416,153,122,119,0,22,197,60,68,30,20,19,96,9,9,21,16,41,34,0,14,4,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16532,2546,13986,3966,2145,2760,1828,1621,872,164,630,15606,2434,13172,3652,2009,2659,1753,1542,802,151,604,538,70,468,180,115,53,59,49,12,0,0,248,35,213,87,14,46,12,25,4,13,12,106,7,99,33,7,2,4,5,34,0,14,34,0,34,14,0,0,0,0,20,0,0,,,,,,,17453,17792,12911,15550,41750,55469,,,,,,,,,,,,,,,,,,,,,,,,,20114,5697,2794,11623,19115,5494,2611,11010,578,115,144,319,254,61,37,156,103,0,2,101,64,27,0,37,,,,,,,,,,,,,,,,,,,20170,14128,6042,19159,13608,5551,596,280,316,248,151,97,103,52,51,64,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,20428,19329,1035,236,120,116,29,28,1,770,64,,,,,,,,,,,,,,,,,,20428,19329,1035,327,327,0,708,326,382,276,106,0,0,78,28,64,0,0,64,,
8,"Calhoun County, Alabama",01,015,2430,1754,316,522,3640,1681,943,607,227,182,1953,1002,569,229,76,77,222,23,145,28,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78545,16800,25866,23253,7960,4666,68904,14246,23100,20202,6985,4371,6173,1633,1885,1833,617,205,2084,701,439,680,212,52,1185,170,423,433,130,29,199,50,19,105,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95521,13173,82348,21964,10833,15170,10270,9786,6565,1910,5850,80775,10563,70212,17224,9227,12825,8969,8573,6050,1793,5551,8931,1458,7473,2896,1146,1480,890,657,258,51,95,3640,771,2869,1142,328,526,309,341,94,26,103,1953,300,1653,668,132,313,102,199,98,40,101,222,81,141,34,0,26,0,16,65,0,0,,,,,,,19750,21217,13199,14420,15417,44141,,,,,,,,,,,,,,,,,,,,,,,,,113685,24644,12858,76183,96086,17865,10593,67628,11056,4794,1633,4629,4245,1553,517,2175,2063,409,115,1539,235,23,0,212,,,,,,,,,,,,,,,,,,,113822,78637,35185,96340,73399,22941,10999,3098,7901,4170,1369,2801,2078,625,1453,235,146,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116574,97423,18893,11601,6705,4896,4946,1553,3393,1388,336,1052,958,258,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,116574,97423,18893,4556,4550,6,14337,7051,7286,4762,2524,117,367,1872,168,258,0,0,258,,
9,"Chambers County, Alabama",01,017,536,379,133,91,696,241,254,91,47,63,456,122,186,99,11,38,20,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23756,5905,8525,6522,1852,952,21239,5190,7737,5894,1605,813,1550,573,493,315,140,29,548,101,162,185,67,33,399,41,124,123,37,74,20,0,9,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27990,4088,23902,6131,3961,4662,3392,2582,1445,611,1118,24667,3530,21137,5072,3721,4259,2995,2262,1244,597,987,2151,403,1748,730,195,250,227,192,88,14,52,696,88,608,268,26,76,55,42,99,0,42,456,62,394,61,19,68,115,86,8,0,37,20,5,15,0,0,9,0,0,6,0,0,,,,,,,17951,18273,13996,15658,27500,17083,,,,,,,,,,,,,,,,,,,,,,,,,33384,8027,4302,21055,28777,5861,3918,18998,3155,1785,277,1093,819,285,64,470,613,96,43,474,20,0,0,20,,,,,,,,,,,,,,,,,,,33426,22326,11100,28836,20996,7840,3163,593,2570,806,478,328,601,245,356,20,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,33861,29069,4772,3280,846,2434,255,51,204,854,502,352,383,20,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,33861,29069,4772,1448,1448,0,3324,1832,1492,859,633,0,52,528,53,20,0,0,20,,
10,"Cherokee County, Alabama",01,019,494,184,29,133,614,215,256,74,43,26,399,39,205,106,31,18,25,0,5,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18777,4068,6508,5789,1416,996,17218,3739,6129,5133,1286,931,766,200,192,294,46,34,468,99,123,166,49,31,300,30,59,176,35,0,25,0,5,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21681,2492,19189,4606,2733,3946,2695,2356,1275,406,1172,19572,2354,17218,3877,2383,3683,2405,2193,1175,379,1123,1071,88,983,303,154,160,143,113,72,6,32,614,25,589,303,120,80,48,13,12,4,9,399,25,374,103,76,23,99,32,16,17,8,25,0,25,20,0,0,0,5,0,0,0,,,,,,,20509,21070,17270,9731,16111,,,,,,,,,,,,,,,,,,,,,,,,,,25265,5339,2642,17284,23050,4727,2277,16046,1123,250,135,738,684,262,202,220,373,80,28,265,35,20,0,15,,,,,,,,,,,,,,,,,,,25316,19525,5791,23075,18702,4373,1121,352,769,700,277,423,385,179,206,35,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,25752,23321,2396,817,200,617,148,90,58,1431,35,,,,,,,,,,,,,,,,,,25752,23321,2396,474,474,0,1922,759,1163,747,416,14,22,363,17,35,0,0,35,,
