,NAME,state,county,B07401PR_003E,B07401PR_004E,B07401PR_005E,B07401PR_006E,B07401PR_007E,B07401PR_008E,B07401PR_009E,B07401PR_010E,B07401PR_011E,B07401PR_012E,B07401PR_013E,B07401PR_014E,B07401PR_015E,B07401PR_016E,B07401PR_017E,B07401PR_018E,B07401PR_019E,B07401PR_020E,B07401PR_021E,B07401PR_022E,B07401PR_023E,B07401PR_024E,B07401PR_025E,B07401PR_026E,B07401PR_027E,B07401PR_028E,B07401PR_029E,B07401PR_030E,B07401PR_031E,B07401PR_032E,B07401PR_033E,B07401PR_034E,B07401PR_035E,B07401PR_036E,B07401PR_037E,B07401PR_038E,B07401PR_039E,B07401PR_040E,B07401PR_041E,B07401PR_042E,B07401PR_043E,B07401PR_044E,B07401PR_045E,B07401PR_046E,B07401PR_047E,B07401PR_048E,B07401PR_049E,B07401PR_050E,B07401PR_051E,B07401PR_052E,B07401PR_053E,B07401PR_054E,B07401PR_055E,B07401PR_056E,B07401PR_057E,B07401PR_058E,B07401PR_059E,B07401PR_060E,B07401PR_061E,B07401PR_062E,B07401PR_063E,B07401PR_064E,B07401PR_065E,B07401PR_066E,B07401PR_067E,B07401PR_068E,B07401PR_069E,B07401PR_070E,B07401PR_071E,B07401PR_072E,B07401PR_073E,B07401PR_074E,B07401PR_075E,B07401PR_076E,B07401PR_077E,B07401PR_078E,B07401PR_079E,B07401PR_080E,B07401_001E,B07401_002E,B07401_003E,B07401_004E,B07401_005E,B07401_006E,B07401_007E,B07401_008E,B07401_009E,B07401_010E,B07401_011E,B07401_012E,B07401_013E,B07401_014E,B07401_015E,B07401_016E,B07401_017E,B07401_018E,B07401_019E,B07401_020E,B07401_021E,B07401_022E,B07401_023E,B07401_024E,B07401_025E,B07401_026E,B07401_027E,B07401_028E,B07401_029E,B07401_030E,B07401_031E,B07401_032E,B07401_033E,B07401_034E,B07401_035E,B07401_036E,B07401_037E,B07401_038E,B07401_039E,B07401_040E,B07401_041E,B07401_042E,B07401_043E,B07401_044E,B07401_045E,B07401_046E,B07401_047E,B07401_048E,B07401_049E,B07401_050E,B07401_051E,B07401_052E,B07401_053E,B07401_054E,B07401_055E,B07401_056E,B07401_057E,B07401_058E,B07401_059E,B07401_060E,B07401_061E,B07401_062E,B07401_063E,B07401_064E,B07401_065E,B07401_066E,B07401_067E,B07401_068E,B07401_069E,B07401_070E,B07401_071E,B07401_072E,B07401_073E,B07401_074E,B07401_075E,B07401_076E,B07401_077E,B07401_078E,B07401_079E,B07401_080E,B07402PR_001E,B07402PR_002E,B07402PR_003E,B07402PR_004E,B07402PR_005E,B07402_001E,B07402_002E,B07402_003E,B07402_004E,B07402_005E,B07403PR_001E,B07403PR_002E,B07403PR_003E,B07403PR_004E,B07403PR_005E,B07403PR_006E,B07403PR_007E,B07403PR_008E,B07403PR_009E,B07403PR_010E,B07403PR_011E,B07403PR_012E,B07403PR_013E,B07403PR_014E,B07403PR_015E,B07403_001E,B07403_002E,B07403_003E,B07403_004E,B07403_005E,B07403_006E,B07403_007E,B07403_008E,B07403_009E,B07403_010E,B07403_011E,B07403_012E,B07403_013E,B07403_014E,B07403_015E,B07404APR_001E,B07404APR_002E,B07404APR_003E,B07404APR_004E,B07404APR_005E,B07404A_001E,B07404A_002E,B07404A_003E,B07404A_004E,B07404A_005E,B07404BPR_001E,B07404BPR_002E,B07404BPR_003E,B07404BPR_004E,B07404BPR_005E,B07404B_001E,B07404B_002E,B07404B_003E,B07404B_004E,B07404B_005E,B07404CPR_001E,B07404CPR_002E,B07404CPR_003E,B07404CPR_004E,B07404CPR_005E,B07404C_001E,B07404C_002E,B07404C_003E,B07404C_004E,B07404C_005E,B07404DPR_001E,B07404DPR_002E,B07404DPR_003E,B07404DPR_004E,B07404DPR_005E,B07404D_001E,B07404D_002E,B07404D_003E,B07404D_004E,B07404D_005E,B07404EPR_001E,B07404EPR_002E,B07404EPR_003E,B07404EPR_004E,B07404EPR_005E,B07404E_001E,B07404E_002E,B07404E_003E,B07404E_004E,B07404E_005E,B07404FPR_001E,B07404FPR_002E,B07404FPR_003E,B07404FPR_004E,B07404FPR_005E,B07404F_001E,B07404F_002E,B07404F_003E,B07404F_004E,B07404F_005E,B07404GPR_001E,B07404GPR_002E,B07404GPR_003E,B07404GPR_004E,B07404GPR_005E,B07404G_001E,B07404G_002E,B07404G_003E,B07404G_004E,B07404G_005E,B07404HPR_001E,B07404HPR_002E,B07404HPR_003E,B07404HPR_004E,B07404HPR_005E,B07404H_001E,B07404H_002E,B07404H_003E,B07404H_004E,B07404H_005E,B07404IPR_001E,B07404IPR_002E,B07404IPR_003E,B07404IPR_004E,B07404IPR_005E,B07404I_001E,B07404I_002E,B07404I_003E,B07404I_004E,B07404I_005E,B07407PR_001E,B07407PR_002E,B07407PR_003E,B07407PR_004E,B07407PR_005E,B07407PR_006E,B07407PR_007E,B07407PR_008E,B07407PR_009E,B07407PR_010E,B07407PR_011E,B07407PR_012E,B07407PR_013E,B07407PR_014E,B07407PR_015E,B07407PR_016E,B07407PR_017E,B07407PR_018E,B07407PR_019E,B07407PR_020E,B07407PR_021E,B07407PR_022E,B07407PR_023E,B07407PR_024E,B07407PR_025E,B07407_001E,B07407_002E,B07407_003E,B07407_004E,B07407_005E,B07407_006E,B07407_007E,B07407_008E,B07407_009E,B07407_010E,B07407_011E,B07407_012E,B07407_013E,B07407_014E,B07407_015E,B07407_016E,B07407_017E,B07407_018E,B07407_019E,B07407_020E,B07407_021E,B07407_022E,B07407_023E,B07407_024E,B07407_025E,B07408PR_001E,B07408PR_002E,B07408PR_003E,B07408PR_004E,B07408PR_005E,B07408PR_006E,B07408PR_007E,B07408PR_008E,B07408PR_009E,B07408PR_010E,B07408PR_011E,B07408PR_012E,B07408PR_013E,B07408PR_014E,B07408PR_015E,B07408PR_016E,B07408PR_017E,B07408PR_018E,B07408PR_019E,B07408PR_020E,B07408PR_021E,B07408PR_022E,B07408PR_023E,B07408PR_024E,B07408PR_025E,B07408PR_026E,B07408PR_027E,B07408PR_028E,B07408PR_029E,B07408PR_030E,B07408_001E,B07408_002E,B07408_003E,B07408_004E,B07408_005E,B07408_006E,B07408_007E,B07408_008E,B07408_009E,B07408_010E,B07408_011E,B07408_012E,B07408_013E,B07408_014E,B07408_015E,B07408_016E,B07408_017E,B07408_018E,B07408_019E,B07408_020E,B07408_021E,B07408_022E,B07408_023E,B07408_024E,B07408_025E,B07408_026E,B07408_027E,B07408_028E,B07408_029E,B07408_030E,B07409PR_001E,B07409PR_002E,B07409PR_003E,B07409PR_004E,B07409PR_005E,B07409PR_006E,B07409PR_007E,B07409PR_008E,B07409PR_009E,B07409PR_010E,B07409PR_011E,B07409PR_012E,B07409PR_013E,B07409PR_014E,B07409PR_015E,B07409PR_016E,B07409PR_017E,B07409PR_018E,B07409PR_019E,B07409PR_020E,B07409PR_021E,B07409PR_022E,B07409PR_023E,B07409PR_024E,B07409PR_025E,B07409PR_026E,B07409PR_027E,B07409PR_028E,B07409PR_029E,B07409PR_030E,B07409_001E,B07409_002E,B07409_003E,B07409_004E,B07409_005E,B07409_006E,B07409_007E,B07409_008E,B07409_009E,B07409_010E,B07409_011E,B07409_012E,B07409_013E,B07409_014E,B07409_015E,B07409_016E,B07409_017E,B07409_018E,B07409_019E,B07409_020E,B07409_021E,B07409_022E,B07409_023E,B07409_024E,B07409_025E,B07409_026E,B07409_027E,B07409_028E,B07409_029E,B07409_030E,B07410PR_001E,B07410PR_002E,B07410PR_003E,B07410PR_004E,B07410PR_005E,B07410PR_006E,B07410PR_007E,B07410PR_008E,B07410PR_009E,B07410PR_010E,B07410PR_011E,B07410PR_012E,B07410PR_013E,B07410PR_014E,B07410PR_015E,B07410PR_016E,B07410PR_017E,B07410PR_018E,B07410PR_019E,B07410PR_020E,B07410PR_021E,B07410PR_022E,B07410PR_023E,B07410PR_024E,B07410PR_025E,B07410PR_026E,B07410PR_027E,B07410PR_028E,B07410PR_029E,B07410PR_030E,B07410PR_031E,B07410PR_032E,B07410PR_033E,B07410PR_034E,B07410PR_035E,B07410PR_036E,B07410PR_037E,B07410PR_038E,B07410PR_039E,B07410PR_040E,B07410PR_041E,B07410PR_042E
1,"Autauga County, Alabama",01,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54759,3000,10559,1837,3441,3415,3410,3754,4222,4308,4010,3266,2636,2440,1822,2639,46357,2480,8832,1407,2119,2477,2721,3022,3577,3713,3711,3145,2432,2406,1756,2559,3805,304,796,155,723,332,183,299,200,379,192,48,143,16,7,28,2987,149,503,217,516,480,420,169,175,107,72,41,46,18,34,40,1610,67,428,58,83,126,86,264,270,109,35,32,15,0,25,12,,,,,,37.3,40.2,24.7,26.2,34,,,,,,,,,,,,,,,,54759,26653,28106,46357,22655,23702,3805,1927,1878,2987,1244,1743,1610,827,783,,,,,,42531,36507,2751,1866,1407,,,,,,10437,8466,887,964,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,469,128,50,44,,,,,,41459,35843,2491,1769,1356,,,,,,1527,975,309,173,70,,,,,,,,,,,,,,,,,,,,,,,,,,54759,53775,984,332,652,46357,45552,805,272,533,3805,3804,1,1,0,2987,2838,149,49,100,1610,1581,29,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43644,11551,22990,5342,1119,2642,37079,8506,20580,4721,846,2426,2906,1407,897,351,162,89,2501,1359,783,189,77,93,1158,279,730,81,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35922,5381,11993,10852,5040,2656,31519,4634,10852,9352,4434,2247,1827,356,777,525,114,55,1602,344,272,634,303,49,974,47,92,341,189,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Baldwin County, Alabama",01,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180666,8544,30905,5037,9474,9734,10619,10443,12942,13340,13136,12280,12645,10827,7595,13145,151868,6206,25246,3610,6402,6486,8376,8447,10950,11855,11819,11211,11571,10024,7232,12433,18726,1868,4128,388,1800,2281,1521,1306,1185,909,941,646,727,447,128,451,3589,97,470,590,454,358,333,190,279,206,118,125,89,121,56,103,6483,373,1061,449,818,609,389,500,528,370,258,298,258,235,179,158,,,,,,42,45.1,27.1,27,29,,,,,,,,,,,,,,,,180666,88062,92604,151868,74103,77765,18726,8793,9933,3589,1798,1791,6483,3368,3115,,,,,,156353,132645,14851,3062,5795,,,,,,17169,13443,2928,490,308,,,,,,1144,1033,87,19,5,,,,,,1139,976,76,13,74,,,,,,,,,,,,,,,,2169,1683,444,0,42,,,,,,2664,2083,340,5,236,,,,,,150603,128573,13732,2985,5313,,,,,,8187,5954,1550,77,606,,,,,,,,,,,,,,,,,,,,,,,,,,180666,174606,6060,2249,3811,151868,146678,5190,1994,3196,18726,18141,585,123,462,3589,3537,52,18,34,6483,6250,233,114,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148741,33605,84704,17514,3069,9849,127136,26239,75649,14232,1988,9028,13217,3892,5927,2114,689,595,3184,1800,588,597,128,71,5204,1674,2540,571,264,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126706,13773,36669,41112,23667,11485,110404,11831,31946,35327,20855,10445,10542,1235,3195,3853,1714,545,1978,391,665,564,247,111,3782,316,863,1368,851,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Barbour County, Alabama",01,005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26351,1289,4169,579,1678,1927,1797,1986,1384,1879,1985,1945,1612,1394,978,1749,22907,1065,3843,455,1175,1466,1316,1560,1139,1758,1719,1792,1593,1388,970,1668,1743,122,290,68,193,212,203,281,101,59,84,78,5,6,3,38,1317,75,28,56,211,167,278,115,106,62,179,26,14,0,0,0,384,27,8,0,99,82,0,30,38,0,3,49,0,0,5,43,,,,,,39.3,42.2,29.6,33.1,28.9,,,,,,,,,,,,,,,,26351,13676,12675,22907,11648,11259,1743,867,876,1317,979,338,384,182,202,,,,,,12726,11075,683,736,232,,,,,,12156,10536,935,533,152,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,939,829,110,0,0,,,,,,,,,,,,,,,,12230,10881,645,472,232,,,,,,1457,1030,163,264,0,,,,,,,,,,,,,,,,,,,,,,,,,,26351,25352,999,114,885,22907,22253,654,86,568,1743,1638,105,0,105,1317,1077,240,28,212,384,384,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21883,7006,9338,2818,871,1850,18926,5695,8595,2385,492,1759,1379,640,251,316,136,36,1229,595,319,114,194,7,349,76,173,3,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18636,4832,6089,5074,1535,1106,16369,3997,5525,4468,1443,936,1070,363,244,380,68,15,947,360,250,186,12,139,250,112,70,40,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Bibb County, Alabama",01,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22998,1040,3928,730,1615,1568,1213,1733,1720,1999,1642,1248,1481,994,774,1313,19539,884,3351,623,1403,1135,849,1364,1478,1614,1517,1121,1340,910,727,1223,1580,131,221,56,148,258,61,84,125,135,54,67,101,56,39,44,1739,25,340,51,56,175,287,246,105,241,66,49,16,28,8,46,140,0,16,0,8,0,16,39,12,9,5,11,24,0,0,0,,,,,,39.3,40.4,28.8,34.2,36.8,,,,,,,,,,,,,,,,22998,12559,10439,19539,10568,8971,1580,860,720,1739,1018,721,140,113,27,,,,,,17762,15033,1214,1430,85,,,,,,4898,4232,366,245,55,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,17468,14808,1150,1425,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22998,22716,282,46,236,19539,19372,167,46,121,1580,1534,46,0,46,1739,1709,30,0,30,140,101,39,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19073,5764,8426,2733,775,1375,16172,4721,7802,1962,471,1216,1269,352,414,217,132,154,1492,600,184,538,165,5,140,91,26,16,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15685,3620,6469,3753,1273,570,13278,3060,5412,3144,1100,562,1024,167,473,297,79,8,1267,340,559,274,94,0,116,53,25,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Blount County, Alabama",01,009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56970,2879,10424,1595,3564,3275,3319,3544,3929,3937,4084,3592,4092,2991,2266,3479,50546,2479,9143,1182,2676,2765,2778,3103,3563,3638,3627,3377,3882,2876,2122,3335,3152,191,806,154,285,194,284,250,272,186,149,36,111,108,101,25,2459,182,345,199,509,219,191,124,73,59,137,179,80,0,43,119,813,27,130,60,94,97,66,67,21,54,171,0,19,7,0,0,,,,,,39.9,42.1,29.2,25,28.9,,,,,,,,,,,,,,,,56970,28250,28720,50546,25124,25422,3152,1519,1633,2459,1174,1285,813,433,380,,,,,,53992,48161,2957,2109,765,,,,,,985,589,150,234,12,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,1044,876,31,116,21,,,,,,50072,44711,2692,1939,730,,,,,,4761,4277,275,170,39,,,,,,,,,,,,,,,,,,,,,,,,,,56970,54503,2467,469,1998,50546,48141,2405,450,1955,3152,3121,31,6,25,2459,2428,31,13,18,813,813,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46291,9845,26188,5793,964,3501,41113,7937,24737,4590,689,3160,2387,666,857,519,96,249,2079,1045,376,417,163,78,712,197,218,267,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38508,8720,13194,11829,3017,1748,35066,7936,11955,10837,2806,1532,1716,467,620,498,111,20,1224,283,431,393,69,48,502,34,188,101,31,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Bullock County, Alabama",01,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10578,557,1670,123,816,602,770,1038,947,610,571,595,809,502,290,678,9015,458,1407,94,617,421,582,738,912,594,472,509,786,502,276,647,909,66,173,0,151,125,23,163,30,0,85,38,10,0,14,31,574,33,79,29,48,56,149,118,1,16,14,18,13,0,0,0,80,0,11,0,0,0,16,19,4,0,0,30,0,0,0,0,,,,,,39,41.4,27.2,31.3,36.7,,,,,,,,,,,,,,,,10578,5761,4817,9015,4850,4165,909,447,462,574,406,168,80,58,22,,,,,,2818,2455,179,144,40,,,,,,7620,6456,730,394,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,2072,179,144,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10578,10134,444,122,322,9015,8632,383,116,267,909,909,0,0,0,574,546,28,0,28,80,47,33,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8705,3669,2695,1074,380,887,7476,3171,2237,919,289,860,687,282,318,35,26,26,462,165,111,120,65,1,80,51,29,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7412,2355,2513,1674,426,444,6439,2119,2242,1290,363,425,519,82,195,219,23,0,385,154,76,125,30,0,69,0,0,40,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Butler County, Alabama",01,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20848,1094,3669,515,1373,1223,1250,1035,1293,1366,1543,1541,1401,1145,777,1623,19329,1032,3450,337,1173,1075,1173,936,1160,1306,1490,1484,1298,1120,714,1581,653,38,111,40,48,82,20,83,61,0,17,27,36,25,23,42,580,24,76,76,96,54,36,16,23,24,36,24,67,0,28,0,286,0,32,62,56,12,21,0,49,36,0,6,0,0,12,0,,,,,,40.7,42.1,32.7,25.9,24,,,,,,,,,,,,,,,,20848,9858,10990,19329,9008,10321,653,316,337,580,297,283,286,237,49,,,,,,11402,10771,153,387,91,,,,,,9075,8263,500,155,157,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11210,10601,153,385,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20848,20666,182,117,65,19329,19172,157,117,40,653,653,0,0,0,580,580,0,0,0,286,261,25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16878,5077,7165,2366,509,1761,15606,4514,6833,2131,467,1661,538,181,173,103,29,52,480,211,114,94,13,48,254,171,45,38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14197,3396,5253,3643,1201,704,13337,3115,4999,3386,1180,657,416,153,122,119,0,22,308,57,126,97,15,13,136,71,6,41,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Calhoun County, Alabama",01,015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115311,5442,19218,3074,8777,7805,6959,6664,7888,8174,8416,8408,6937,5187,4577,7785,97423,4316,16101,2155,5947,5482,5710,5382,6850,7102,7841,7577,6444,4951,4313,7252,11601,920,2175,542,1791,1512,780,855,605,612,348,499,314,165,162,321,4211,128,746,267,548,468,302,298,310,417,152,171,84,38,94,188,2076,78,196,110,491,343,167,129,123,43,75,161,95,33,8,24,,,,,,39.8,42.5,26.3,29.3,26.6,,,,,,,,,,,,,,,,115311,55841,59470,97423,46641,50782,11601,5661,5940,4211,2257,1954,2076,1282,794,,,,,,86858,75017,7264,3204,1373,,,,,,23965,18721,3737,930,577,,,,,,,,,,,,,,,,808,685,46,18,59,,,,,,,,,,,,,,,,1338,1159,171,8,0,,,,,,1976,1571,340,16,49,,,,,,85027,73650,6822,3202,1353,,,,,,3601,2883,653,24,41,,,,,,,,,,,,,,,,,,,,,,,,,,115311,112713,2598,752,1846,97423,95201,2222,652,1570,11601,11304,297,66,231,4211,4175,36,13,23,2076,2033,43,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95070,26399,45235,12919,2784,7733,80775,20159,41109,10363,2195,6949,8931,3909,2430,1754,316,522,3484,1437,1035,603,191,218,1880,894,661,199,82,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78800,16606,26161,23084,8138,4811,68904,14246,23100,20202,6985,4371,6173,1633,1885,1833,617,205,2522,556,856,652,236,222,1201,171,320,397,300,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Chambers County, Alabama",01,017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34712,1942,5592,788,2456,2039,1982,2182,2232,2297,2604,2416,2334,1880,1368,2600,29069,1207,4311,554,1758,1388,1459,1780,2032,2075,2422,2280,2161,1830,1359,2453,3280,430,936,87,277,394,329,183,81,137,135,84,74,16,9,108,1311,163,158,127,324,99,110,111,52,2,33,38,42,13,0,39,1052,142,187,20,97,158,84,108,67,83,14,14,57,21,0,0,,,,,,41.2,45.1,22.4,20.9,28.2,,,,,,,,,,,,,,,,34712,16769,17943,29069,13895,15174,3280,1591,1689,1311,663,648,1052,620,432,,,,,,20570,17162,1602,983,823,,,,,,13716,11548,1611,328,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20423,17069,1602,956,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34712,34378,334,109,225,29069,28764,305,98,207,3280,3262,18,0,18,1311,1300,11,11,0,1052,1052,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28547,8594,12213,3966,1215,2559,24667,6770,11282,3277,956,2382,2151,1012,536,379,133,91,1006,581,143,108,97,77,723,231,252,202,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23934,5982,8477,6615,1958,902,21239,5190,7737,5894,1605,813,1550,573,493,315,140,29,539,117,152,188,54,28,606,102,95,218,159,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Cherokee County, Alabama",01,019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25559,1129,3909,531,1463,1234,1342,1209,1955,1874,2104,2043,1947,1810,1254,1755,23321,990,3669,478,966,999,1141,1061,1856,1723,2005,1943,1849,1716,1215,1710,1233,91,125,22,229,131,150,74,35,70,31,75,71,75,25,29,629,46,101,6,152,79,45,25,28,45,37,25,11,19,10,0,376,2,14,25,116,25,6,49,36,36,31,0,16,0,4,16,,,,,,45,46.5,30.6,25.3,34.5,,,,,,,,,,,,,,,,25559,12529,13030,23321,11468,11853,1233,613,620,629,284,345,376,164,212,,,,,,23802,21802,1077,605,318,,,,,,1227,1041,104,24,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23577,21577,1077,605,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25559,25429,130,78,52,23321,23212,109,57,52,1233,1212,21,21,0,629,629,0,0,0,376,376,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21531,3368,13266,2579,458,1860,19572,2811,12514,2168,403,1676,1071,231,494,184,29,133,528,239,168,85,5,31,360,87,90,142,21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18527,4088,6483,5634,1357,965,17218,3739,6129,5133,1286,931,766,200,192,294,46,34,324,123,92,99,10,0,219,26,70,108,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
