AL 57.35 60.05 55.51 50.63 48.34 3,600,000 2,064,699 -2.70 55.38 1.84 6.72 9.01 1.97
AK 42.29 66.98 68.55 67.03 59.66 517,000 218,646 -24.69 67.50 -26.26 -24.74 -17.37 -25.21
AZ 37.98 55.57 53.24 44.57 45.10 4,472,000 1,698,255 -17.59 53.53 -15.26 -6.59 -7.12 -15.55
AR 48.96 51.92 52.04 47.03 47.14 2,160,000 1,057,609 -2.96 53.74 -3.08 1.93 1.82 -4.78
CA 54.02 60.46 58.34 54.42 51.75 23,572,000 12,733,862 -6.44 59.59 -4.32 -0.40 2.27 -5.57
CO 66.48 70.01 66.04 57.66 54.85 3,635,000 2,416,551 -3.53 61.75 0.44 8.82 11.63 4.73
CT 59.19 65.98 64.36 60.66 57.83 2,547,000 1,507,467 -6.79 66.96 -5.17 -1.47 1.36 -7.77
DE 61.04 64.24 61.81 57.28 49.83 678,000 413,844 -3.20 56.26 -0.77 3.76 11.21 4.78
DC 52.45 59.47 52.93 48.88 43.80 464,000 243,348 -7.02 51.60 -0.48 3.57 8.65 0.85
FL 61.37 65.78 63.57 53.32 50.57 13,542,000 8,310,955 -4.41 54.48 -2.20 8.05 10.80 6.89
GA 56.48 60.51 54.03 45.34 43.01 6,865,000 3,877,038 -4.03 47.01 2.45 11.14 13.47 9.47
HI 43.56 48.21 47.99 43.39 44.08 986,000 429,494 -4.65 47.44 -4.43 0.17 -0.52 -3.88
ID 57.53 62.03 61.18 55.67 59.67 1,133,000 651,871 -4.50 65.07 -3.65 1.86 -2.14 -7.54
IL 57.29 63.29 61.59 56.43 52.14 8,887,000 5,091,061 -6.00 62.16 -4.30 0.86 5.15 -4.87
IN 54.35 59.06 54.35 49.70 49.76 4,775,000 2,595,024 -4.71 55.62 0.00 4.65 4.59 -1.27
IA 69.17 69.08 68.90 61.25 58.51 2,264,000 1,565,968 0.09 65.53 0.27 7.92 10.66 3.64
KS 55.51 61.95 60.85 56.20 57.60 2,038,000 1,131,244 -6.44 63.66 -5.34 -0.69 -2.09 -8.15
KY 54.68 57.15 57.84 51.22 47.74 3,286,000 1,796,807 -2.47 53.45 -3.16 3.46 6.94 1.23
LA 59.63 59.47 59.79 59.33 55.06 3,343,000 1,993,555 0.16 57.23 -0.16 4.57 2.40 0.30
ME 63.72 71.40 74.52 67.55 64.32 1,054,000 671,614 -7.68 73.86 -10.80 -3.83 -0.60 -10.14
MD 60.45 66.31 62.07 54.39 49.18 4,096,000 2,475,956 -5.86 56.33 -1.62 6.06 11.27 4.12
MA 66.56 66.60 63.83 60.36 57.51 4,700,000 3,128,134 -0.04 62.81 2.73 6.20 9.05 3.75
MI 63.28 68.99 67.39 59.51 55.20 7,317,000 4,630,116 -5.71 62.80 -4.11 3.77 8.08 0.48
MN 74.62 76.91 77.45 69.26 64.68 3,915,000 2,921,463 -2.29 72.20 -2.83 5.36 9.94 2.42
